id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,min_nights,num_reviews,last_review,reviews_pm,num_listings,availability_365,num_reviews_ltm,license
28071995,Lower Mills Guest Suite,18465514,Robert E,Mattapan,42.27595,-71.07805,Entire home/apt,,2,129,8/18/2025,1.59,1,0,10,STR-445592
28161172,"Room w/ Private Bathroom, near MBTA transit",201935605,Sherwin,Hyde Park,42.24927,-71.11788,Private room,,29,33,7/15/2023,0.38,8,119,0,
28202522,Walk to train Downtown or UMASS BOSTON,156053359,Ken,Dorchester,42.29151,-71.06811,Private room,,91,1,5/19/2019,0.01,8,0,0,
28241815,Luxury - 3 Bed - Next to Prudential #65,133927887,Kat,Back Bay,42.34627,-71.08412,Entire home/apt,,91,25,8/13/2019,0.3,14,0,0,
28242815,Charming 3 Bed Near Hynes convention center #20,133927887,Kat,Back Bay,42.34472,-71.08523,Entire home/apt,,91,4,12/28/2018,0.05,14,0,0,
28298193,Luxury North End (Waterfront) walk to MGH Subway,180283497,Michelle,North End,42.36573,-71.05145,Entire home/apt,192,60,0,,,7,234,0,
28302081,La Casa Boheme - Upstairs First Bedroom,59978794,Gianni,Roxbury,42.320481,-71.090593,Private room,68,29,39,5/11/2025,0.46,2,266,3,STR-398672
28360335,"Blueground | Back Bay, gym, nr the common",107434423,Blueground,Bay Village,42.34992,-71.06943,Entire home/apt,432,32,1,4/27/2019,0.01,343,136,0,
28578655,"Mount Restwell, Serenity Vicinity",44581223,Andre,Hyde Park,42.25086,-71.11469,Private room,60,29,22,8/23/2025,0.27,5,342,3,STR-416718
28614084,House in Quiet Area–BC/BU/Harvard/Longwood+Parking,203051562,Andre,Brighton,42.34724,-71.15586,Entire home/apt,255,28,37,3/15/2020,0.45,1,169,0,STR-408640
28635984,Beautiful apartment in the area of Dorchester,213613694,Manuel,Dorchester,42.30288,-71.0833,Entire home/apt,,400,0,,,1,365,0,
28640732,Hola Joy 1,148305529,Clara M,Brighton,42.35843,-71.14083,Private room,78,1,72,9/20/2025,0.85,3,337,35,STR-409596
28749495,Alaska Street R43,188939923,Mort,Roxbury,42.32045,-71.07794,Private room,69,2,76,8/24/2025,0.89,7,324,12,STR-415018
28756042,"Big room ,comfortable and clean !room 1",215660864,Michael,Dorchester,42.29084,-71.07299,Private room,,91,22,11/4/2019,0.26,2,0,0,STR-403628
28770914,"Big room ,clean and comfortable .Room 2",215660864,Michael,Dorchester,42.29224,-71.07328,Private room,,91,30,8/31/2022,0.35,2,0,0,Exempt: This listing is a unit used for furnished institutional or business stays
28867304,Alaska Street R42,216849347,Jeana,Roxbury,42.32142,-71.08007,Private room,72,2,109,9/6/2025,1.28,3,303,26,STR-415018
28912741,Simple South Boston Stays (entire place),217940047,Kiki,South Boston,42.336525,-71.054451,Entire home/apt,276,2,68,6/19/2025,0.81,1,65,6,STR-544891
28915006,Special and Breathtaking East Boston studio,92025425,Rohn,East Boston,42.38793,-71.00376,Private room,106,1,140,9/7/2025,1.66,2,24,34,STR-479029
28992318,2-2 ★ALLSTON★ 3 Mins to Green Line T,218525774,Turana,Allston,42.35099,-71.13657,Private room,,29,30,11/21/2019,0.35,4,0,0,Exempt: This listing is a unit used for furnished institutional or business stays
29010062,1 Bedroom in 4B2B apartment for short stay,73102139,Jason,Allston,42.36038,-71.13024,Private room,,91,5,7/7/2019,0.06,1,0,0,
29037205,Entire Place 2 Bedrooms near BU & BC,25244802,Timothy,Allston,42.34718,-71.13543,Entire home/apt,,29,48,1/18/2021,0.57,2,0,0,STR-412987
29064530,1-2 ★ALLSTON★ 3 Mins to Green Line T - Comfortable,218525774,Turana,Allston,42.34962,-71.13461,Private room,,29,37,1/21/2020,0.44,4,0,0,Exempt: This listing is a unit used for furnished institutional or business stays
29070339,"Close to BC and BU, subway nearby!",219049252,Jinghan,Brighton,42.34561,-71.14017,Entire home/apt,,91,24,1/12/2019,0.28,1,0,0,
29082416,Brighton,16016039,Amaro,Brighton,42.36203,-71.14292,Private room,86,29,80,10/12/2024,0.95,1,360,1,STR-410791
29213280,1-1 ★ALLSTON★ 3 Mins to Green Line T,218525774,Turana,Allston,42.34897,-71.13536,Private room,,29,38,3/25/2020,0.45,4,0,0,Exempt: This listing is a unit used for furnished institutional or business stays
29216550,ROOM B,220130358,Keith,West Roxbury,42.27125,-71.14898,Private room,66,1,110,8/30/2025,1.3,4,212,14,STR-443076
29217663,ROOM A,220130358,Keith,West Roxbury,42.27184,-71.1511,Private room,66,1,89,8/26/2025,1.05,4,263,8,STR-443076
29217949,ROOM C,220130358,Keith,West Roxbury,42.27302,-71.14923,Private room,66,1,120,9/6/2025,1.42,4,264,11,STR-443076
29218070,Room D,220130358,Keith,West Roxbury,42.27163,-71.14922,Private room,66,1,140,8/31/2025,1.66,4,262,12,STR-443076
29256695,Artistic charm in hip J.P.,220420185,Andrea,Jamaica Plain,42.31883,-71.10693,Entire home/apt,171,2,190,9/14/2025,2.27,1,62,21,STR-547448
29261726,"Beautiful private place#2 4 min fr T, 5 mt airport",169902109,Endang,East Boston,42.37676,-71.03889,Private room,65,29,189,9/1/2025,2.24,2,281,3,STR-414768
29276776,life in the hub,218491837,Harold,Dorchester,42.32038,-71.05054,Entire home/apt,,91,5,11/17/2018,0.06,1,0,0,
29281816,"Leafy & Tranquil, Artist house. Easy access Boston",1922657,Catherine,Jamaica Plain,42.31203,-71.10278,Entire home/apt,282,90,102,8/7/2025,1.3,2,317,12,STR-445634
29282726,"Skylit Suite in Musical home, easy access Boston",1922657,Catherine,Jamaica Plain,42.31203,-71.10278,Entire home/apt,208,1,169,9/1/2025,2.15,2,343,23,STR-443588
29303003,Carols place in Brighton,31373357,Carol,Brighton,42.3499,-71.17241,Private room,40,29,14,4/5/2024,0.19,1,308,0,STR-414615
29366852,Upper Duplex Penthouse with Water View,20259404,Lauren,South Boston,42.33176,-71.04427,Entire home/apt,304,29,144,5/1/2025,1.73,1,326,1,STR-393234
29390698,Paul Revere Suite PVT Entry/BATH QN Bed Sparkling,52881930,William John,South Boston,42.33451,-71.02733,Entire home/apt,158,2,426,9/8/2025,5.05,3,192,46,STR-398624
29489346,Downtown Boston Moontower Loft!,88360952,Anthony,Downtown,42.35385,-71.06031,Private room,65,91,0,,,2,89,0,
29513275,Back Bay studio on Marlborough St (91 night min),180283497,Michelle,Back Bay,42.35198,-71.07777,Entire home/apt,125,91,1,1/31/2021,0.02,7,365,0,
29571217,Private Bedroom near Brighton Center.,26293115,Pedro,Brighton,42.35803,-71.15106,Private room,,91,1,11/11/2018,0.01,1,0,0,
29635339,"Luxury 2 bedroom, 2.5 Bathroom, Downtown Boston",118223333,Gary,Downtown,42.35685,-71.0607,Entire home/apt,,91,1,7/12/2019,0.01,1,0,0,
29664067,Boston Home Near Downtown,187813188,Booker,Jamaica Plain,42.31455,-71.09906,Private room,139,1,245,9/1/2025,2.92,2,347,27,STR-545181
29682207,Cozy Duplex | Near T,42431392,Daniel,Roxbury,42.3294961,-71.0881648,Entire home/apt,328,29,5,12/30/2019,0.06,6,315,0,Exempt: This listing is a unit used for furnished institutional or business stays
29682306,Cozy Apartment | near T,42431392,Daniel,Roxbury,42.3295,-71.08817,Entire home/apt,239,30,81,12/11/2021,0.97,6,321,0,Exempt: This listing is a unit used for furnished institutional or business stays
29682500,Cozy Back Bay Boston Retreat!,40317532,Timothy,Back Bay,42.35152,-71.08606,Entire home/apt,272,2,481,9/5/2025,6.43,1,33,67,STR-408931
29702825,"Blueground | South Boston, fitness center",107434423,Blueground,South Boston,42.34114,-71.04959,Entire home/apt,439,32,0,,,343,146,0,
29704910,Bright & Spacious Loft Steps to the Freedom Trail,771785,Aaron,Downtown,42.3544,-71.06039,Entire home/apt,332,2,339,9/9/2025,4.19,1,208,58,STR-443083
29728508,Support Local Businesses by Staying with GoLocal!,223161573,Lisa,East Boston,42.36629,-71.03919,Entire home/apt,,91,23,11/3/2019,0.28,1,0,0,
29739809,"Spectacular, luxury Bay Village/Back Bay Condo",172007,Tim,Bay Village,42.34867,-71.06685,Entire home/apt,302,1,446,9/8/2025,5.33,1,222,58,STR443370
29831173,Rose Room/Harvard Business School/free parking早餐方便,224379152,Tingying(Helen),Brighton,42.35188,-71.15245,Private room,71,29,17,8/8/2025,0.2,3,288,3,
29833651,Bina’s Home away from home  5,153568352,Frederick & Sabina,Mattapan,42.27852,-71.08658,Private room,125,2,85,5/18/2025,1.02,5,177,2,STR-445640
29860624,Roxbury living,13107750,Gavin,Roxbury,42.32243,-71.08024,Private room,,91,0,,,1,0,0,
29878773,NONE SMOKING 1:Spacious & clean.SUPER Safe & Quiet,165422704,Mimi,Dorchester,42.28795,-71.05406,Private room,45,29,72,11/27/2024,0.86,3,250,1,STR-439516
29898702,"Charlesmark, boutique hotel room in Copley Square",224820689,Charlesmark,Back Bay,42.35006,-71.07858,Hotel room,342,1,84,2/12/2023,1.01,5,258,0,Exempt: This listing is a hotel or motel
29904919,H_Sunny room easy commute to Boston Downtown.,89328922,Ehab,Dorchester,42.3225,-71.05734,Private room,56,29,144,8/18/2025,2.92,13,266,14,STR-455882
29929936,Lily Room/Harvard Business School/free parking+早餐,224379152,Tingying(Helen),Brighton,42.35398,-71.15464,Private room,64,29,27,11/25/2024,0.32,3,226,1,STR-411240
29931687,Sunflower Room/Harvard Business School/ Parking+早餐,224379152,Tingying(Helen),Brighton,42.35227,-71.15464,Private room,67,29,28,8/23/2025,0.33,3,244,1,STR-411240
29982429,Copley House Queen Studio,85130,Copley,Back Bay,42.3452,-71.07911,Entire home/apt,377,1,79,9/8/2025,0.99,7,320,15,Exempt: This listing is a hotel or motel
30017679,Victorian house comfortable and cozy,10692181,Francisco,Jamaica Plain,42.31031,-71.1027,Entire home/apt,466,2,65,9/19/2025,1.12,5,327,15,STR-545241
30036357,"A Boutique Hotel Room in Copley, Charlesmark Hotel",224820689,Charlesmark,Back Bay,42.35006,-71.07858,Hotel room,407,1,90,3/5/2022,1.08,5,258,0,Exempt: This listing is a hotel or motel
30037052,Queen Size Bed Boutique Hotel @ The Charlesmark,224820689,Charlesmark,Back Bay,42.35006,-71.07858,Hotel room,427,1,40,2/29/2024,0.49,5,258,0,Exempt: This listing is a hotel or motel
30060158,The Charlesmark Hotel Premium Queen Copley Square,224820689,Charlesmark,Back Bay,42.35006,-71.07858,Hotel room,442,1,10,2/17/2023,0.12,5,258,0,Exempt: This listing is a hotel or motel
30104396,Copley House King Studio,85130,Copley,Back Bay,42.34458,-71.08019,Entire home/apt,388,1,13,6/22/2024,0.18,7,315,0,Exempt: This listing is a hotel or motel
30249816,"Sleeps 4, comfortable apt. in quiet Boston suburb",227161039,Sofia,West Roxbury,42.29379,-71.15963,Entire home/apt,195,1,112,9/20/2025,1.35,1,128,43,STR-548105
