id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13209403,Room in ❤️ of Central Sq!!,74045635,Ian,,Cambridgeport,42.36284,-71.10346,Private room,,1,28,2023-08-01,0.25,2,0,0,C0286570491
13281865,"3rd fl studio, excellent light, 1 stop to Harvard",9939488,Dan,,Neighborhood Nine,42.38885,-71.12527,Entire home/apt,167,91,3,2019-05-15,0.03,1,365,0,
13294153,"Close to subway, MGH, Harvard, MIT, HULT, Boston",42927628,Gema,,East Cambridge,42.37024,-71.08245,Private room,113,3,258,2025-09-15,2.27,4,301,15,C0193080491
13522694,❤ of Cambridge | Walk Score 94 | Parking | W/D,36621692,Norma,,Riverside,42.36536,-71.10886,Entire home/apt,,2,337,2024-06-08,3.17,1,0,0,STR-215038
13546773,Spacious Strawberry Hill Suite (West Cambridge),28611578,Jessica,,Strawberry Hill,42.37995,-71.15434,Entire home/apt,,2,549,2025-09-08,4.99,1,2,51,
13586974,Beta Room @ CCVP in Harvard Square,78459716,Christiana,,Riverside,42.37009,-71.11309,Private room,150,1,457,2025-09-23,4.06,4,303,36,STR-15634
13600523,Sigma Room @ CCVP in Harvard Square,78459716,Christiana,,Riverside,42.37084,-71.11435,Private room,177,1,431,2025-09-21,3.85,4,290,37,STR-15634
13617148,"Classy Cambridge 2BD--Harvard, MIT, Kendall,Boston",45016784,Yan,,Wellington-Harrington,42.3725,-71.08804,Entire home/apt,,30,253,2020-08-10,2.25,2,0,0,
13953617,Studio-type room  w private bathroom CBM,12576232,Thomas,,The Port,42.37121,-71.09892,Entire home/apt,131,32,48,2023-11-11,0.44,6,310,0,
13971507,"Modern, Private Studio in Inman Sq., Cambridge",83305489,Nelson And Pauline,,Mid-Cambridge,42.37267,-71.10078,Entire home/apt,175,30,92,2024-10-31,0.83,1,364,1,
14142611,Best Location! MIT Harvard MGH Boston HULT,42927628,Gema,,East Cambridge,42.36995,-71.08231,Private room,113,3,212,2025-09-09,1.90,4,324,19,C0217920491
14212774,One Bedroom Close to MIT (1542),51079261,Riverside,,Cambridgeport,42.36286,-71.09985,Private room,,1,29,2020-01-31,0.26,23,0,0,10794
14213983,"Great Cambridge studio, great Harvard sq location",1473780,Bernardo,,Riverside,42.36676,-71.11316,Entire home/apt,,3,11,2020-11-24,0.10,1,0,0,C0276430491
14214169,A Lovely Private Room in the heart of Cambridge,86315677,Irene,,Neighborhood Nine,42.38122,-71.12098,Private room,100,2,309,2025-09-26,2.84,1,245,56,STR-13659
14229298,Modern 1BR | Kitchen | W/D | on Charles River bank,30283594,Global Luxury Suites,,East Cambridge,42.363617,-71.08202,Entire home/apt,,31,2,2018-12-22,0.02,6,6,0,C0281170491
14251369,NEW BEAUTIFUL 2 BDR APT.  HARVARD - CENTRAL SQ/MIT,50669996,Shallu,,Cambridgeport,42.36363,-71.1036,Entire home/apt,192,91,131,2021-12-18,1.18,1,280,0,
14449525,"Convenience, Cozy, and Free Parking",3603745,Mehtap Leyla,,West Cambridge,42.37688,-71.14396,Entire home/apt,130,2,333,2025-09-08,3.01,1,332,20,STR-13635
14521992,Harvard Square 1br,89743014,Samuel,,Riverside,42.3687,-71.11044,Shared room,,91,1,2016-09-15,0.01,1,0,0,
14536322,Omega Room @ CCVP in Harvard Square,78459716,Christiana,,Mid-Cambridge,42.37054,-71.11269,Private room,143,1,385,2025-09-21,3.49,4,302,33,STR-15634
14727253,Charming House in Cambridge C36W,12576232,Thomas,,The Port,42.36924,-71.09905,Private room,60,60,14,2023-08-20,0.13,6,252,0,
14754163,One Bedroom Close to MIT (1522),51079261,Riverside,,Cambridgeport,42.36185,-71.09989,Private room,,1,68,2019-11-10,0.62,23,0,0,10794
14758794,One Bedroom Close to MIT (1552),51079261,Riverside,,Cambridgeport,42.36213,-71.10004,Private room,,1,52,2020-02-13,0.47,23,0,0,10794
14759578,"East Cambridge, MIT, Kendall & free parking!",92029664,Robert,,East Cambridge,42.37128,-71.08607,Entire home/apt,196,2,278,2025-09-21,2.52,1,55,36,
14914342,Three-bedroom Harvard Square condo.,8944743,Philip,,Mid-Cambridge,42.37667,-71.11024,Entire home/apt,325,32,23,2025-06-16,0.22,1,292,3,
